country,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
ARG,25,-35.1001,-57.4839,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.26
ARG,41,-34.3931,-58.8372,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.64
ARG,32,-37.4102,-68.9,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.98
ARG,20,-38.2472,-57.8242,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.61
ARG,38.8,-36.9439,-60.2361,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.31
ARG,15,-23.1258,-64.3069,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.95
ARG,40,-31.7764,-60.4553,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.04
ARG,15,-28.5339,-65.7997,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.95
ARG,7.2,-27.3236,-58.5667,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.62
ARG,22.4,-35.8336,-61.8758,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.48
ARG,21,-37.0953,-56.8789,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.62
ARG,16.25,-25.6786,-59.0756,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.62
ARG,246,-26.9955,-65.166,Gas,2002.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1377.84
ARG,19.2,-31.2567,-61.5203,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.98
ARG,24,-35.055,-64.2406,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.73
ARG,130,-31.8919,-60.0106,Gas,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728.13
ARG,20,-26.8156,-60.4114,Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.61
